"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Population growth (annual %)","SP.POP.GROW","","1.18734426572715","1.32622723498415","1.20366430885019","1.07660194824525","0.986114424783721","0.862398829043227","0.503043105597307","0.133831409365337","-0.0287840436795769","-0.172878468846149","-0.287095354800503","-1.25656462134736","0.433191332877477","0.0857280074449621","-0.0925894239870965","0.125146806661145","0.362554694772122","0.334026691838903","0.703589498767673","1.20572409466493","1.08574012985549","1.17041035995923","1.54168100744254","1.07570026063362","-1.88244251078928","-2.95437362586139","-1.29651660780176","0.290320062131051","1.85688371673627","3.75056134586705","4.88713560049167","4.61012241010557","6.5620284925223","5.17037414583618","2.80831670109337","3.95074287081186","3.87475976651232","2.4607540856619","1.35648590551186","1.03081685259869","0.93503293482838","0.692051826700269","1.13822893851655","2.13535781849357","2.59075665615847","1.79663785158395","0.746664790352749","0.762933470313563","0.678450763317743","0.230041095930877","0.736689418341162","1.46978228958006","1.49203139661921","1.06551209965487","1.02370103122312","0.75796755862231","0.007357607309414","0.158975971141518","0.270504632854835","-0.565684046703506","-0.82021108315363","-0.362774222330685","0.0456516784920034","0.590657103226071","",
"Africa Eastern and Southern","AFE","Population growth (annual %)","SP.POP.GROW","","2.6246235203985","2.68700877626946","2.71404193548623","2.76985566424139","2.8098822116255","2.81032375617882","2.84481116053896","2.89053053210213","2.88945065291198","2.88850904619344","2.88686159332995","2.84260156370146","2.92057490651803","2.97492214745766","2.92186725484821","2.91729731599594","2.82959668799219","2.98952355658372","3.12908916400582","2.99895122759029","3.09317148407782","3.21559919558012","3.13265066685359","3.03401872045451","3.0109923521529","2.987529648733","2.99676072743034","2.9047075526033","2.82575303796522","2.86654890669014","2.75069381267418","2.66048165065413","2.76949139016801","2.65931727355301","2.59624753960851","2.64520724063808","2.56360934676329","2.59082906065185","2.62289295632848","2.59538933998788","2.5886417713116","2.60780157535376","2.61906809457548","2.64137149821667","2.65847839652985","2.66976588552462","2.69144498343854","2.72364001522085","2.73723757208867","2.73452519643287","2.68462143269084","2.69351289263264","2.7482455829431","2.70410469635343","2.69683038788555","2.64074325542301","2.64206728810391","2.73426282366823","2.72168052257397","2.69951609745311","2.6494391643563","2.59275445199729","2.51916664518144","2.47280147854539","",
"Afghanistan","AFG","Population growth (annual %)","SP.POP.GROW","","1.9622391202036","2.0445228359303","2.1052082248002","2.16119547210755","2.23370858013984","2.26965142881696","2.30666800699098","2.36068343389987","2.39272037816067","2.4452057451213","2.42851631309344","2.44258389899974","2.53475893911385","2.5268442145866","2.41525048462279","2.21344608328696","2.1280995644747","2.00869785436837","0.323658822560684","-3.62580787978915","-9.81977073931242","-8.25803438536739","-0.669999256586122","2.46291172007885","2.09257523944359","-0.0593340233066949","-0.282849651384286","1.18267114653938","2.9987647953118","1.43458821147838","1.59132588364829","8.15641941048095","11.8072591071712","8.38872960212999","4.89368011973163","4.00540467357125","3.80450803445817","3.7646866376293","3.72811603964771","1.21217597601851","0.762004896898895","5.25202958527833","6.14519400188515","3.57583485398158","3.51921696042587","4.09270201656348","1.8925975396006","2.18654618162979","3.64638090813246","2.93468670173474","3.69150308391849","4.04786256315645","3.41822667584596","3.63251884652008","3.11995924146907","2.53571991833963","2.80833730805469","2.91080959861384","2.98438913621969","3.15360920291972","2.35609779179185","1.43570437048699","2.13559384981397","2.83657317243522","",
"Africa Western and Central","AFW","Population growth (annual %)","SP.POP.GROW","","2.10383178103682","2.13152221545093","2.17001459582214","2.18489407259775","2.21628342731358","2.24927732455585","2.26462190555516","2.30171816188059","2.34163602040148","2.38978119805776","2.41670463172047","2.45110224575999","2.52179364024051","2.59934983624015","2.67554130459842","2.68243749570254","2.71767274001916","2.79396812725059","2.83122853490036","2.83228468903282","2.84661053860396","2.90237309748788","2.73246302790296","2.63479556114712","2.73396806569957","2.73990732418007","2.73785874620383","2.74829657186468","2.77115454145824","2.66136615067968","2.64300140464419","2.75593895058625","2.70082777138451","2.65462164834649","2.72302903559725","2.7205854804256","2.71907260451378","2.76168483699296","2.73166191861256","2.75132392809025","2.80153964354323","2.81077138406323","2.8141742241892","2.82856501787792","2.83958955807186","2.82608419767989","2.8219705369228","2.82607178878814","2.79237396747975","2.78698893627561","2.82286088448152","2.78126173094488","2.73116206800931","2.73031560628191","2.69935903335602","2.67291294656133","2.62629564056769","2.53362052736347","2.44004800908883","2.38917570433681","2.3638289749527","2.33227039388145","2.38620356038992","2.39847314152298","",
"Angola","AGO","Population growth (annual %)","SP.POP.GROW","","1.32779747379503","0.989638884942996","1.00366645307032","1.02768371068476","1.0521327025144","1.07004599273081","1.07672716199246","1.07351672755809","1.06374555524786","1.53411018165866","2.33572395835657","3.01139927064505","3.41145207135026","3.45890219863504","3.4125582897881","3.33014644361355","3.37937480483443","3.4768536806595","3.50754362150738","3.58793986406709","3.64246045254538","3.67803500207566","3.71606373976317","3.70603601409782","3.67864774172346","3.61842556125761","3.47374802918502","3.40339476992955","3.41457162860406","3.39240335400398","3.35905461487339","3.27414246108306","3.19559442992564","3.24168920160086","3.33998873703717","3.3816089218138","3.39551504166387","3.34679546644871","3.29527663572252","3.31228746945312","3.35370941359163","3.40747615681454","3.49334277776736","3.59445752400652","3.64626893356444","3.68489201610335","3.74258021023639","3.77828976645524","3.80156187494836","3.85109824897149","3.8879459971363","3.88358355528674","3.84998068971631","3.73272806660513","3.60507162233632","3.57644143982026","3.54061221486272","3.45323300897802","3.38788422184303","3.26795864914978","3.18132259995095","3.14302612044601","3.08065530722915","3.04419972245653","",
"Albania","ALB","Population growth (annual %)","SP.POP.GROW","","3.12085537059054","3.05673050279088","2.95374876199632","2.88068642624326","2.75402123804227","2.63456387954101","2.63019034549493","2.84251071048949","2.8960833877323","2.55085117829323","2.4229720170788","2.49497310670312","2.36255222384825","2.29721417566909","2.3011538096943","2.20823525497527","2.21325217885547","2.07574189532527","1.98945701957156","2.04796386136191","2.00297430640894","2.11327178253342","2.12088533357751","2.10393661802013","2.05599460887143","1.93322081083734","1.99703995612751","1.88671052887888","2.68786198874035","1.79908559333186","-0.602809679480026","-0.606434726201759","-0.610165792730247","-0.613880506929603","-0.617703658436963","-0.62151139901728","-0.625430096900055","-0.629334392525913","-0.63335227398725","-0.637356833943492","-0.93847042771206","-0.299876697084691","-0.374149169291299","-0.417931377925999","-0.511790116421897","-0.630911244851673","-0.75571875541991","-0.767342959142321","-0.673894046451936","-0.49646196338738","-0.269017331764615","-1.54313670532257","-1.54314471365633","-1.54313753739282","-1.54312006878448","-1.54313470861992","-1.54315156766944","-1.54309991591532","-1.54313709096794","-1.54315589345436","-1.54312080996395","-1.54315667695786","-1.54310811387613","-1.54314393524594","",
"Andorra","AND","Population growth (annual %)","SP.POP.GROW","","7.81481696897547","7.51910047505593","7.21150595530926","6.88305978652916","6.59379645245965","7.02340939081659","7.95482076608293","8.1164086066891","7.7226233936081","7.38423172840341","7.0770003637453","6.82712854593862","6.59885517933086","6.34726268457784","6.09802461998095","5.81540893320219","5.48929364454713","5.13334903832308","4.68754240945787","4.21247076799978","3.80301068628924","4.20169003417802","4.54136449747247","4.1242958534049","3.60558464262208","4.2637572969605","4.11035834180687","3.63286711986262","2.407249672338","3.83123287796408","7.45329468211735","6.0480321596983","4.97705409023407","2.09572588343954","-1.08930148717707","0.112591492472177","1.11281494023923","1.04857897159494","0.500412968697236","-0.038053198830509","0.253921086430399","0.988236936986141","4.38331242746588","6.73220754538658","4.08106927409514","2.7567571256705","2.83924882561682","1.95686286864098","0.469582600578118","-3.86696538756774","-3.68900236441521","-1.22756477898092","-2.15758099819573","-1.95667320426838","-2.14248382559065","0.00969831319383994","2.16803975005007","1.87885332176802","1.73050296926809","1.17775354895761","1.26362889534188","1.69676808598242","1.43374756867515","1.32930689449906","",
"Arab World","ARB","Population growth (annual %)","SP.POP.GROW","","2.57823879312522","2.62350862989843","2.67059265564392","2.68111313172526","2.68098444311695","2.74588966874251","2.83518597331945","2.87299534138975","2.89582547442121","2.87659469277032","2.8490151798554","2.85104343203942","2.93611085355997","2.96115168863137","3.06669054269667","3.18766959586492","3.13422094213359","3.28941190699957","3.509672611695","3.46219627593005","3.20230492888198","3.10105365355938","3.14493825914441","3.13354737666233","3.0739720806011","3.04136882601883","2.98499141026466","2.77027362193033","2.6744220306747","3.28626669219108","2.31107571877806","2.55857635622995","2.77963018835214","2.74309358024757","2.52257722068187","2.44150862810139","2.40563252454035","2.41979841334517","2.3935256711417","2.41543527490979","2.42446364867946","2.39338192520223","2.34144421249202","2.32646818002896","2.37373785357332","2.41849081690974","2.5160369697056","2.54491691477219","2.47204998946198","1.99515168852155","2.30736970092213","2.38370613008674","2.57120480453802","2.34512756475237","2.4580221910701","2.31761538561915","2.00626985832883","1.77768190401844","1.88201603418311","2.10294522896747","1.51437547360799","2.29741398218854","2.25586602644063","2.15591676300777","",
"United Arab Emirates","ARE","Population growth (annual %)","SP.POP.GROW","","4.94302750761822","4.91872874289777","4.8906456876335","4.7979243899545","4.53634287214408","4.03069699051328","3.23714351228271","10.4104301241277","18.3828157223581","17.8642930456826","15.634694288103","13.906857167078","12.5277265217573","11.3983425279883","10.4303703633327","12.6185316008578","14.2529885512947","13.0578256541173","11.9513405470009","10.7682354018958","7.96003229704081","5.87180088431517","5.74215413753345","5.56480649101998","5.36026160862263","6.29119579654771","7.02946149266028","6.60823561382132","6.22748629856082","5.8784228791753","5.55380997102418","5.24724401080608","4.95223997523987","4.66407380953512","4.4717655242434","6.47661448989632","8.12439404457886","7.61779694622865","7.15727575370797","6.73568170124179","6.37626894621745","6.07539320463732","5.78447695225097","5.48794157690806","5.18764431874288","7.12134410320015","11.5899798855336","11.3816344065238","6.2188003600278","2.39801204084647","3.35932096341285","3.95899214220379","3.99911978796443","4.65292210905658","5.38380162241984","4.93046894788046","3.17379785893425","1.32986873264335","1.0545163442516","-0.474850154644905","1.83513009029147","5.08834153373914","3.97717097504667","4.68316095317394","",
"Argentina","ARG","Population growth (annual %)","SP.POP.GROW","","1.65516691395024","1.65684089054911","1.64339841718671","1.61030882522813","1.56411446631364","1.53151134539948","1.52552564515699","1.5300700621594","1.53510695155484","1.56001941277121","1.57425828869798","1.58329622607322","1.61675611830692","1.64473215761616","1.60810835620248","1.56523230766791","1.58361041281169","1.59885003313826","1.59684779867466","1.59304228632554","1.60201232076144","1.60420679867482","1.6019042448548","1.59235691940308","1.57262930146869","1.55539122422629","1.54512926233209","1.54990330404865","1.53134817062707","1.49157462934909","1.43788006980649","1.38438120034139","1.35364018555542","1.3401375748685","1.3103115077878","1.25745217924583","1.21464795933597","1.17552563201514","1.15304317167294","1.13312807570195","1.09794672757946","1.06941318335345","1.0331399769648","1.01407652046238","1.02745772191722","1.02824760534561","0.991101935066697","1.01288878477428","1.05977470732485","1.05636332156278","1.06474009749784","1.0276613644946","0.992958989681133","1.0317435786984","1.04725888735726","0.968911125580978","0.881249595012674","0.822969480473088","0.710900853077743","0.484665636741261","0.265879395046274","0.210808731072658","0.286976121920089","0.345829819817895","",
